Order_ID,Order_Date,Region,Category,Product,Sales,Quantity,Profit,Customer_Segment
ORD001,2025-11-24,North,Electronics,Headphones,1908,4,211.21,Consumer
ORD002,2025-12-13,North,Grocery,Coffee,211,1,27.03,Small Business
ORD003,2025-11-05,North,Furniture,Table,3756,4,787.4,Consumer
ORD004,2025-03-23,West,Clothing,Jacket,1380,3,401.01,Corporate
ORD005,2025-02-22,North,Grocery,Coffee,4344,6,924.49,Consumer
ORD006,2025-08-24,North,Grocery,Coffee,5580,9,1464.58,Small Business
ORD007,2025-07-05,South,Electronics,Laptop,5346,11,1336.9,Consumer
ORD008,2025-04-30,North,Grocery,Rice,10568,8,2784.71,Consumer
ORD009,2025-07-09,East,Furniture,Bookshelf,17028,12,3789.88,Small Business
ORD010,2025-11-22,South,Furniture,Desk,6376,8,888.74,Small Business
ORD011,2025-12-19,South,Clothing,Shirt,340,4,87.42,Corporate
ORD012,2025-05-18,North,Furniture,Bookshelf,5448,4,1034.2,Small Business
ORD013,2025-08-23,South,Clothing,Jeans,4676,4,928.54,Small Business
ORD014,2025-10-27,West,Grocery,Rice,1212,4,232.82,Consumer
ORD015,2025-01-25,North,Furniture,Desk,18369,13,3175.54,Consumer
ORD016,2025-07-17,West,Grocery,Rice,387,9,88.88,Consumer
ORD017,2025-12-16,East,Clothing,Shirt,4550,5,522.32,Consumer
ORD018,2025-05-15,South,Electronics,Headphones,18592,14,3563.82,Consumer
ORD019,2025-03-20,East,Furniture,Office Chair,6830,10,1280.58,Consumer
ORD020,2025-07-05,East,Furniture,Office Chair,4724,4,1362.07,Consumer
ORD021,2025-09-06,North,Furniture,Desk,10923,11,3149.17,Consumer
ORD022,2025-05-16,West,Furniture,Desk,7896,12,1324.78,Small Business
ORD023,2025-11-29,East,Grocery,Cooking Oil,1054,2,136.42,Corporate
ORD024,2025-01-11,South,Furniture,Office Chair,2938,2,642.96,Consumer
ORD025,2025-02-04,North,Clothing,Shirt,4563,9,644.59,Corporate
ORD026,2025-04-20,South,Grocery,Snacks,12844,13,3309.25,Consumer
ORD027,2025-02-18,North,Grocery,Rice,6027,7,1101.41,Small Business
ORD028,2025-01-28,North,Electronics,Monitor,8568,12,2194.52,Consumer
ORD029,2025-05-08,South,Furniture,Table,2652,3,319.21,Corporate
ORD030,2025-05-08,North,Grocery,Coffee,1355,1,406.29,Consumer
ORD031,2025-02-17,South,Furniture,Table,8040,8,1021.28,Corporate
ORD032,2025-01-31,South,Grocery,Coffee,3941,7,1118.59,Corporate
ORD033,2025-05-27,West,Grocery,Snacks,2508,4,320.76,Consumer
